CEP;Número;Qtde NET
64000120;1631;
64001110;1703;2
64001070;743;5
64000430;150;
64003060;1885;2
64048152;164;86
64049778;1179;16
64000120;2240;6
64052535;2440;2
64000250;570;4
64049200;726;2
64049522;1751;17
64048162;1331;15
64048110;320;24
64055305;622;
64048350;1525;39
64048360;696;3
64052902;2061;24
64048130;1058;13
64051120;2416;27
64000235;331;1
64048380;766;6
64049375;1480;
64048560;4237;8
64001280;1520;2
64049508;874;0
64048350;1555;43
64052468;1730;12
64052360;1165;15
64014050;161;6
64049484;1035;2
64049590;1411;7
64048232;1065;20
64049240;2662;12
64049280;1550;29
64001904;636;0
64051030;2521;4
64000080;2149;9
64014053;112;14
64048320;735;16
64049280;2177;14
64001320;3320;9
64000450;150;14
64049280;1433;
64000390;173;5
64049410;2026;7
64052790;1277;44
64048152;1100;23
64052820;1801;36
64049320;550;45
64018630;410;0
64049536;368;33
64000120;1294;7
64052160;1325;5
64049370;2600;25
64048152;1033;16
64001090;56;37
64049250;1770;47
64049220;1860;0
64001030;533;3
64050200;2500;53
64014058;670;17
64049220;1281;10
64049370;2955;7
64049534;1645;
64048152;649;4
64049200;710;
64049480;737;16
64049220;1369;1
64048110;959;
64019625;820;2
64001270;1053;1
64003170;1266;1
64014058;770;9
64001310;705;6
64002510;1754;8
64001130;1016;2
64000380;1375;2
64000110;527;1
64000210;783;4
64046465;614;2
64049110;3234;16
64049020;2009;4
64049534;2121;21
64000128;626;5
64049570;2315;17
64048350;1453;32
64052850;2883;61
64049522;1535;8
64052250;975;9
64001260;945;0
64000080;1380;6
64000470;300;4
64048130;1091;31
64048130;1135;30
64000902;124;0
64001300;869;0
64049440;570;6
64052370;809;39
64045310;1515;28
64049440;2801;43
64018650;171;4
64014058;742;24
64049110;2570;17
64048360;205;14
64049280;1671;28
64048360;675;14
64049440;699;1
64048100;1626;31
64018650;1200;4
64049570;1841;3
64048320;1864;
64052535;2074;8
64003073;2605;2
64001010;759;0
64049800;1521;7
64045440;3300;28
64049570;3019;12
64062005;1585;1
64000390;87;1
64049240;2209;0
64049240;2149;0
64052160;2162;0
64052160;2182;0
64049240;2189;0
64052160;2222;0
64049240;2229;0
64052160;2144;0
64049240;2169;0
64052160;2242;0
64049240;299;54
64062005;501;5
64074020;16;0
64049740;1040;0
64048130;205;52
64014063;3330;20
64000240;1470;4
64049110;2020;4
64048512;2525;1
64053550;4935;147
64062210;5757;0
64001160;210;0
64062005;750;1
64000020;2076;0
64052810;2255;50
64000390;625;0
64001280;2300;0
64049440;1551;22
64001690;469;
64001470;879;25
64001190;722;0
64048495;4255;3
64018630;849;2
64053370;233;23
64012855;1255;0
64012855;0;0
64012355;4660;0
64048100;1749;10
64045230;1840;23
64049550;880;6
64062050;231;0
64048320;1550;45
64053070;5000;114
64001260;1961;44
64049200;683;21
64048162;370;0
64064043;3455;0
64000160;310;94
64053720;1784;12
64051090;2355;0
64049518;2071;30
64000450;670;12
64049110;1480;8
64049300;1691;3
64001020;1696;24
64000160;0;0
64052480;1301;55
64049518;1730;
64046100;185;0
64000080;1213;0
64062190;4150;0
64049110;2060;14
64052520;2014;17
64048130;303;23
64048110;670;9
64053500;5699;46
64062190;4113;0
64045290;1405;60
64049410;913;39
64046170;655;63
64048380;310;
64000150;447;3
64000180;399;15
64001545;2720;22
64045190;1631;20
64046010;880;35
64049240;2500;0
64049270;1020;
64048360;2323;5
64048130;368;1
64045730;3770;0
64062160;3488;0
64049240;2500;0
64076030;2602;63
64001260;1695;0
64053330;575;36
64000970;891;0
64073175;600;
64052850;2230;0
64018285;1016;0
64002240;1669;6
64049830;1146;5
64002410;1683;3
64053160;5645;
64049790;979;2
64049695;1655;14
64076030;2484;55
64049700;2457;13
64049825;1832;0
64003695;2272;0
64016075;1831;7
64048100;2540;4
64001905;1179;0
64001370;2322;
64003200;635;0
64033500;7020;0
64064210;3960;0
64076800;2165;
64049750;941;0
64015610;1880;60
64046170;555;22
64002750;2367;2
64049660;1131;
64049610;1195;0
64049650;3031;0
64049590;1077;0
64001300;2680;1
64055585;6789;0
64046440;3025;5
64001030;912;2
64019625;750;6
64017280;1190;4
64057060;6201;0
64017280;1161;2
64050080;3030;35
64055330;4271;56
64045750;4358;1
64000330;668;2
64046350;204;
64046350;210;
64046350;212;
64046350;222;
64046350;540;0
64046350;747;0
64049790;1280;11
64083-190;180;0
64049534;1645;15
64053060;4790;1
64078245;4801;0
64062200;0;0
64063060;8280;0
64018510;1316;4
64018510;2401;7
64052473;1839;9
64002260;776;0
64053050;890;0
64001400;2545;
64006160;2928;0
64053300;570;28
64048100;640;
64048100;284;32
64053800;1165;56
64052320;515;7
64052490;2200;120
64000128;479;1
64000580;2919;15
64015050;3290;17
64017090;1206;20
64062150;4165;0
64073046;400;0
64049500;2150;92
64049270;798;33
64000200;1625;
64073650;9525;0
64049250;1250;72
64048152;485;45
64055170;345;38
64045310;340;0
64045685;1050;0
64020060;280;0
64053600;5136;0
64055335;3355;19
64049280;1165;38
64091205;7889;0
64048350;131;0
64073630;0;0
64049270;2167;24
64049130;1951;18
64049680;2584;11
64055280;3317;0
64055280;3343;4
